ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1416614223.34321,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,171307,165084,165031,1861,367189
1416614223.34321,pg_catalog,pg_type,pg_type_typname_nsp_index,19066,14643,13725,5368,45652
1416614223.34321,pg_catalog,pg_type,pg_type_oid_index,719379,717448,717448,1823,1471797
1416614223.34321,pg_toast,pg_toast_2619,pg_toast_2619_index,124177,420162,420162,2441,247203
1416614223.34321,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1416614223.34321,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1416614223.34321,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1416614223.34321,pg_toast,pg_toast_2618,pg_toast_2618_index,2963,9462,9462,542,4238
1416614223.34321,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1416614223.34321,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1416614223.34321,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1416614223.34321,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1416614223.34321,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_authid,pg_authid_oid_index,30911,30911,30911,814,61008
1416614223.34321,pg_catalog,pg_authid,pg_authid_rolname_index,30730,30730,30730,827,60633
1416614223.34321,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,618965,1398345,1398166,4134,1283129
1416614223.34321,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,940,940,940,1647,14624
1416614223.34321,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,37232,168440,168440,6392,97079
1416614223.34321,pg_catalog,pg_proc,pg_proc_oid_index,233788,233788,233788,4570,492753
1416614223.34321,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_constraint,pg_constraint_oid_index,256,128,128,34,608
1416614223.34321,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,32,226
1416614223.34321,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,32,226
1416614223.34321,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,32,226
1416614223.34321,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,964,0,0,487,477
1416614223.34321,pg_catalog,pg_index,pg_index_indexrelid_index,265189,266220,265189,745,297242
1416614223.34321,pg_catalog,pg_index,pg_index_indrelid_index,71821,218135,218135,1604,88881
1416614223.34321,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_opclass,pg_opclass_oid_index,145908,145908,145908,760,177216
1416614223.34321,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,47169,1967241,1967241,2064,58115
1416614223.34321,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_amop,pg_amop_opr_fam_index,114979,324228,324228,2687,248998
1416614223.34321,pg_catalog,pg_amop,pg_amop_fam_strat_index,157279,157279,157279,2256,327045
1416614223.34321,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,141456,293642,293642,1235,313745
1416614223.34321,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,16653,16653,16653,2704,26314
1416614223.34321,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,5717,5181,4645,1034,8742
1416614223.34321,pg_catalog,pg_rewrite,pg_rewrite_oid_index,1608,1072,1072,737,1967
1416614223.34321,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,1592,0,0,485,1107
1416614223.34321,pg_catalog,pg_description,pg_description_o_c_o_index,4256,0,0,1371,8105
1416614223.34321,pg_catalog,pg_cast,pg_cast_source_target_index,1043171,246879,246879,785,1072134
1416614223.34321,pg_catalog,pg_cast,pg_cast_oid_index,0,0,0,0,0
1416614223.34321,pg_catalog,pg_database,pg_database_oid_index,44535,44534,44534,808,77134
1416614223.34321,pg_catalog,pg_database,pg_database_datname_index,64104,64103,64103,769,96678
